Titolo,Artista,Settimana,Streaming,Radio_Tv,Download,Percentuale
Riptide,Vance Joy,2024-01-13,100,0,0,8.6
La musica non c'è,Coez,2024-01-13,94,0,6,8.55
Viva la vida,Coldplay,2024-01-13,92,0,8,8.54
Vois sur ton chemin [techno mix],Bennett,2024-01-13,90,3,7,8.46
Un milione di volte,Shiva feat. Sfera Ebbasta,2024-01-13,100,0,0,8.35
Grammelot,Kid Yugi,2024-01-13,100,0,0,8.35
Molotov,Lazza,2024-01-13,100,0,0,8.34
Piove,Lazza & Sfera Ebbasta,2024-01-13,100,0,0,8.22
Paint the town red,Doja Cat,2024-01-13,97,3,0,8.14
Altamente mia,Bresh & Shune,2024-01-13,100,0,0,8.09
Dance the night,Dua Lipa,2024-01-13,94,0,6,7.9
One on one,Knocks & Sofi Tukker,2024-01-13,0,100,0,7.85
Uscito di galera,Lazza,2024-01-13,100,0,0,7.8
Now and then,Beatles,2024-01-13,0,91,9,7.68
One of the girls,The Weeknd feat. Jennie & Lily-Rose Depp,2024-01-13,100,0,0,7.67
Lovebars,Coez & Frah Quintale,2024-01-13,100,0,0,7.64
Popular,The Weeknd & Playboi Carti & Madonna,2024-01-13,100,0,0,7.59
Per dimenticare,Zero Assoluto,2024-01-13,100,0,0,7.37
Monopolio,TY1 feat. Kid Yugi & Nerissima Serpe,2024-01-13,100,0,0,7.29
Nato per questo,Club Dogo & Marracash,2024-01-20,99,0,1,100.0
Che t'o dico a fa',Angelina Mango,2024-01-20,72,27,1,99.76
Milly,Club Dogo feat. Sfera Ebbasta,2024-01-20,99,0,1,92.17
C'era una volta in Italia,Club Dogo,2024-01-20,100,0,0,83.18
Rossofuoco,Mida,2024-01-20,98,0,2,83.17
Euforia,Annalisa,2024-01-20,48,49,3,83.0
Anche stasera,Sfera Ebbasta feat. Elodie,2024-01-20,84,15,1,77.24
Houdini,Dua Lipa,2024-01-20,43,56,1,76.23
Mafia del boom bap,Club Dogo,2024-01-20,100,0,0,73.99
Calcolatrici,Sfera Ebbasta feat. Geolier & Simba La Rue & Baby Gang,2024-01-20,100,0,0,73.55
Everyday,Takagi e Ketra feat. Shiva & Anna & Geolier,2024-01-20,99,0,1,71.94
Moneylove,Massimo Pericolo feat. Emis Killa,2024-01-20,100,0,0,70.42
King of the jungle,Club Dogo,2024-01-20,100,0,0,70.09
Petit fou fou,Rhove & Anna,2024-01-20,92,6,1,69.67
Bruciasse il cielo,Blanco,2024-01-20,45,54,1,68.04
Soli a Milano,Club Dogo & Elodie,2024-01-20,94,4,2,65.95
"Yes, and?",Ariana Grande,2024-01-20,68,6,26,65.74
Malafede,Club Dogo,2024-01-20,100,0,0,62.54
Italodisco,Kolors,2024-01-20,86,13,1,60.4
Nightmares,Bresh & Pinguini Tattici Nucleari,2024-01-20,68,32,0,59.8
15 Piani,Sfera Ebbasta feat. Marracash,2024-01-20,99,0,1,59.41
Un milione di notti,Mr. Rain & Clara,2024-01-20,54,45,1,58.38
In sbatti,Club Dogo,2024-01-20,100,0,0,58.31
Tokyo,Gaia,2024-01-20,6,92,2,57.55
Greedy,Tate Mcrae,2024-01-20,39,61,0,56.38
2minuti,Calcutta,2024-01-20,84,14,1,53.63
Vetri neri,Ava & Anna & Capo Plaza,2024-01-20,99,0,1,52.29
Tunnel,Simba La Rue & F.T. Kings,2024-01-20,100,0,0,51.35
Tu non sei lei,Club Dogo,2024-01-20,100,0,0,50.23
"Io, me ed altri guai",Rose Villain,2024-01-20,52,47,2,49.74
Bon ton,Drillionaire & Lazza & Blanco feat. Sfera Ebbasta & Michelangelo,2024-01-20,100,0,0,47.87
Milano Shotta freestyle,Shiva,2024-01-20,99,0,1,47.02
Cadillac,Boro & Artie 5Ive & Andry The Hitmaker,2024-01-20,100,0,0,45.82
Stupidi ragazzi,Achille Lauro,2024-01-20,31,68,1,44.95
Cenere,Lazza,2024-01-20,100,0,0,44.87
I believe in love again,Peggy Gou & Lenny Kravitz,2024-01-20,0,99,1,44.81
Indelebili,Club Dogo feat. Kaze,2024-01-20,100,0,0,43.61
Si no estas,Inigo Quintero,2024-01-20,99,1,0,43.03
Frate,Club Dogo,2024-01-20,100,0,0,42.79
Mwaki,Zerb & Sofiya Nzau,2024-01-20,17,75,8,41.86
Bellissimissima,Alfa,2024-01-20,98,0,2,41.41
Una cosa bene,Articolo 31 feat. Coma_Cose,2024-01-20,3,96,2,41.28
Due vite,Marco Mengoni,2024-01-20,99,0,1,40.34
Amore cane,Emma & Lazza,2024-01-20,14,86,0,39.46
Occhi lucidi,Ultimo,2024-01-20,40,58,2,38.43
VDLC,Sfera Ebbasta,2024-01-20,100,0,0,37.39
Lil Boo Thang,Paul Russell,2024-01-20,0,99,1,36.69
Batiment,Simba La Rue & F.T. Kings feat. Sfera Ebbasta,2024-01-20,100,0,0,36.56
Parole vuote (La solitudine),Tedua & Capo Plaza & Shune,2024-01-20,99,1,0,36.48
Lovin on me,Jack Harlow,2024-01-20,28,69,2,36.07
Terra bruciata,Coez & Frah Quintale,2024-01-20,0,100,0,34.3
Cocktail d'amore,Mahmood,2024-01-20,14,86,0,33.78
Mon amour,Annalisa,2024-01-20,100,0,0,33.74
G63,Sfera Ebbasta feat. Lazza & Shiva,2024-01-20,99,0,1,33.3
Solo mai,Paola e Chiara,2024-01-20,0,98,2,33.22
Kiss you (F**k you),Yung Snapp feat. Geolier,2024-01-20,100,0,0,33.05
Tutti,Calcutta,2024-01-20,98,1,1,32.89
A fari spenti,Elodie,2024-01-20,38,62,0,32.58
Lose control,Teddy Swims,2024-01-20,11,83,6,32.15
Nuvola,Holden,2024-01-20,97,1,2,32.02
Is it over now?,Taylor Swift,2024-01-20,4,95,2,31.46
Ti sento,Bob Sinclar & Matia Bazar feat. Antonella Ruggiero,2024-01-20,13,80,7,31.21
A cena con gli dei,Biagio Antonacci,2024-01-20,0,96,4,30.53
Soldi a casa,Simba La Rue & F.T. Kings feat. Ghali,2024-01-20,100,0,0,30.07
Un'altra storia,Marco Mengoni feat. Franco126,2024-01-20,36,64,0,30.0
Insta lova,Marracash & Guè Pequeno,2024-01-20,100,0,0,29.34
Ci pensiamo domani,Angelina Mango,2024-01-20,100,0,0,28.38
Quando nevica,Elisa,2024-01-20,4,96,0,27.89
Sesso e architettura,Colapesce & Dimartino,2024-01-20,3,95,2,27.72
Spazio tempo,Francesco Gabbani,2024-01-20,93,2,5,27.18
Un briciolo di allegria,Blanco & Mina,2024-01-20,100,0,0,27.16
Come vuoi,Geolier,2024-01-20,100,0,0,26.61
3D,Jung Kook & Jack Harlow,2024-01-20,0,100,0,25.5
Supereroi,Mr. Rain,2024-01-20,99,0,1,25.41
Boulevard,Artie 5ive & Rondodasosa,2024-01-20,98,2,0,25.11
Ancora,Rhove,2024-01-20,100,0,0,24.91
Papaya,Villabanks,2024-01-20,100,0,0,24.85
Disco Paradise,Fedez & Annalisa & Articolo 31,2024-01-20,100,0,0,24.57
Paganini,Kid Yugi,2024-01-20,100,0,0,24.49
Giro con te,Calcutta,2024-01-20,0,100,0,24.17
Silenzio,Gianna Nannini,2024-01-20,0,98,2,23.77
Mess it up [purple disco machine remix],Rolling Stones & Purple Disco Machine,2024-01-20,0,99,1,23.55
Il male che mi fai,Geolier feat. Marracash,2024-01-20,100,0,0,23.53
Hoe,Tedua feat. Sfera Ebbasta,2024-01-20,100,0,0,23.04
Red,Ste,2024-01-20,83,9,7,22.1
Fragole,Achille Lauro & Rose Villain,2024-01-20,100,0,0,21.51
Ciao bella,Sfera Ebbasta feat. Anna,2024-01-20,100,0,0,20.89
Gol,Sfera Ebbasta feat. Guè,2024-01-20,100,0,0,20.74
Milano,Bia & Sfera Ebbasta & Fivio Foreign,2024-01-20,100,0,0,20.29
Ragazza sola,Annalisa,2024-01-20,85,15,0,20.02
Ricordi sbiaditi,Medy feat. Capo Plaza,2024-01-20,100,0,0,19.43
Alta marea,Coez & Frah Quintale,2024-01-20,100,0,0,19.3
Tango,Tananai,2024-01-20,91,9,0,18.94
Rubami la notte,Pinguini Tattici Nucleari,2024-01-20,100,0,0,18.85
Guasto d'amore,Bresh & Shune,2024-01-20,100,0,0,18.37
Can't get enough,Jennifer Lopez,2024-01-20,0,92,8,18.32
Guagliò,Petit,2024-01-20,36,62,3,18.01
Anelli e collane,Artie 5Ive feat. Anna,2024-01-20,100,0,0,17.58
Un altro mondo,Merk and Kremont & Tananai & Marracash,2024-01-20,66,34,0,17.16
Bling Bling (Oro),Guè Pequeno,2024-01-20,100,0,0,16.98
Hoodrich,Artie 5Ive & Rondodasosa,2024-01-20,100,0,0,16.59
Straniero,Massimo Pericolo feat. Tedua,2024-01-20,100,0,0,16.52
Redrum,21 Savage,2024-01-20,100,0,0,16.44
No mix no master,Simba La Rue & Higashi,2024-01-20,100,0,0,16.33
Latitante,Simba La Rue,2024-01-20,100,0,0,16.24
Ballon d'Or,Gemitaiz feat. Nayt,2024-01-20,100,0,0,16.22
Paradiso artificiale,Tedua feat. Baby Gang & Kid Yugi,2024-01-20,100,0,0,16.16
Casanova,Soolking & Gazo,2024-01-20,100,0,0,16.14
"Quevedo: Bzrp Music Sessions, Vol. 52",Bizarrap & Quevedo,2024-01-20,97,0,3,16.01
Levante,Simba La Rue feat. Paky,2024-01-20,100,0,0,15.94
Destri,Gazzelle,2024-01-20,100,0,0,15.54
Parafulmini,Ernia feat. Bresh & Fabri Fibra,2024-01-20,100,0,0,15.37
Mattino di luce,Subsonica,2024-01-20,0,97,3,15.2
Seya,GIMS & Morad & Sativamusic,2024-01-20,100,0,0,15.16
Enough is enough,Post Malone,2024-01-20,0,100,0,14.92
Bellissima,Annalisa,2024-01-20,96,0,4,14.87
Baby mama,Don Pero,2024-01-20,100,0,0,14.83
Taxi sulla luna,Tony Effe & Emma & Takagi e Ketra,2024-01-20,100,0,0,14.71
Body moving,Eliza Rose feat. Calvin Harris,2024-01-20,0,100,0,14.59
Baby U want me,Vale Lambo feat. Geolier & Michelangelo,2024-01-20,97,3,0,13.86
Red light,Tedua,2024-01-20,100,0,0,13.84
Not my fault,Reneè Rapp & Megan Thee Stallion,2024-01-20,0,100,0,13.81
Hood,Simba La Rue & F.T. Kings feat. Tedua,2024-01-20,100,0,0,13.78
Single soon,Selena Gomez,2024-01-20,7,91,2,13.72
Shopping,Simba La Rue & F.T. Kings feat. Guè,2024-01-20,100,0,0,13.57
Piccola stella,Ultimo,2024-01-20,100,0,0,13.42
Nèe-Nah,21 Savage & Travis Scott & Metro Boomin,2024-01-20,100,0,0,12.93
Gelosa,Finesse feat. Shiva & Sfera Ebbasta & Guè Pequeno,2024-01-20,100,0,0,12.82
Submariner,Simba La Rue,2024-01-20,100,0,0,12.78
Kalashnikova,Simba La Rue,2024-01-20,100,0,0,12.78
Dimmi che non è un addio,Holden,2024-01-20,100,0,0,12.71
Murder on the dancefloor,Sophie Ellis-Bextor,2024-01-20,88,5,7,12.49
X caso,Geolier feat. Sfera Ebbasta,2024-01-20,100,0,0,12.44
Non lo sai,Shiva,2024-01-20,100,0,0,12.43
Blu ghiaccio travolgente,Tommaso Paradiso,2024-01-20,43,57,0,12.26
Vulisse fa peccato,Nando De Marco feat. Giusy Attanasio,2024-01-20,100,0,0,12.24
Giovani Wannabe,Pinguini Tattici Nucleari,2024-01-20,100,0,0,12.24
3uphon,Sfera Ebbasta feat. thasup & Tony Effe,2024-01-20,100,0,0,12.1
Chiagne,Geolier feat. Lazza & Takagi & Ketra,2024-01-20,100,0,0,11.7
Atomic city,U2,2024-01-20,0,100,0,11.45
Machiavelli,Ghali feat. Simba La Rue,2024-01-20,100,0,0,11.3
Storia Infinita,Medy feat. Baby Gang,2024-01-20,100,0,0,11.25
Solite chiacchiere,Francesca Michielin,2024-01-20,0,100,0,11.25
Mercy,The Blessed Madonna feat. Jacob Lusk,2024-01-20,31,62,7,11.25
Soraya,Medy & Andry The Hitmaker,2024-01-20,100,0,0,11.25
La metà della mela,Ligabue,2024-01-20,0,96,4,11.13
Columbia,Quevedo,2024-01-20,100,0,0,10.82
Fell in love,blink-182,2024-01-20,0,100,0,10.63
Controtempo,Calcutta,2024-01-20,100,0,0,10.44
Momenti no,Sfera Ebbasta feat. Tedua,2024-01-20,100,0,0,10.43
Fantasmi,Rose Villain feat. Geolier,2024-01-20,100,0,0,10.41
Ti sento,Matia Bazar,2024-01-20,92,4,3,10.37
Another love,Tom Odell,2024-01-20,96,0,4,10.35
Lala,Myke Towers,2024-01-20,100,0,0,10.26
CRUDELIA: I nervi,Marracash,2024-01-20,100,0,0,10.15
La tua canzone,Coez,2024-01-20,100,0,0,9.97
Lej,Don Xhoni & Dhurata Dora,2024-01-20,100,0,0,9.92
Dove si balla,Dargen D'Amico,2024-01-20,100,0,0,9.66
M' manc,Shablo & Geolier & Sfera Ebbasta,2024-01-20,100,0,0,9.6
Gli sbagli che fai,Vasco Rossi,2024-01-20,14,86,0,9.59
Pastello bianco,Pinguini Tattici Nucleari,2024-01-20,100,0,0,9.54
Cosa mi manchi a fare,Calcutta,2024-01-20,100,0,0,9.53
Agitato,Simba La Rue,2024-01-20,100,0,0,9.53
Ubriachi di vita,Tropico,2024-01-20,0,100,0,9.5
Top G,Artie 5Ive feat. Sacky,2024-01-20,100,0,0,9.28
All of me,21 Savage,2024-01-20,100,0,0,9.21
"Ancora, ancora, ancora [extended mark ronson remix]",Mina,2024-01-20,93,0,7,9.19
Ricordi,Pinguini Tattici Nucleari,2024-01-20,100,0,0,9.16
N.H.I.E.,21 Savage & Doja Cat,2024-01-20,100,0,0,8.95
Americana,Sangiovanni,2024-01-20,0,100,0,8.89
Malamente,Tedua,2024-01-20,100,0,0,8.86
Puoi,Fulminacci & Pinguini Tattici Nucleari,2024-01-20,100,0,0,8.81
Ridere,Pinguini Tattici Nucleari,2024-01-20,100,0,0,8.78
Syrup,Shiva,2024-01-20,100,0,0,8.75
La musica non c'è,Coez,2024-01-20,100,0,0,8.74
Beccaria San Vittore,Simba La Rue feat. Baby Gang,2024-01-20,100,0,0,8.63
Come ogni volta,La Crus feat. Colapesce & Dimartino,2024-01-20,100,0,0,8.58
Aeiou,Pnau X Empire Of The Sun,2024-01-20,0,100,0,8.53
Freaky,Slings feat. Shiva & Niky Savage & Finesse,2024-01-20,100,0,0,8.36
Fino al giorno nuovo,Negramaro & Fabri Fibra,2024-01-20,0,100,0,8.34
Non litighiamo più,Rocco Hunt,2024-01-20,100,0,0,8.32
Visiera a becco,Sfera Ebbasta,2024-01-20,100,0,0,8.31
Mi odierai,Mida,2024-01-20,96,0,4,8.22
Free esco free baby,Simba La Rue,2024-01-20,100,0,0,8.19
Strangers,Kenya Grace,2024-01-20,96,0,4,8.17
Avalanche,Thirty Seconds To Mars,2024-01-20,0,100,0,8.16
Overdrive,Ofenbach feat. Norma Jean Martine,2024-01-20,0,95,5,8.13
Tete,Ava feat. Medy & Villabanks,2024-01-20,100,0,0,8.05
Cookies n' cream,Guè Pequeno & Anna & Sfera Ebbasta,2024-01-20,100,0,0,8.03
Prada,Casso & Raye & D-Block Europe,2024-01-20,74,26,0,7.93
Better place,*Nsync & Justin Timberlake,2024-01-20,0,100,0,7.81
Water,Tyla,2024-01-20,0,95,5,7.8
One on one,Knocks & Sofi Tukker,2024-01-20,0,91,9,7.69
Panico,Lazza & Takagi & Ketra,2024-01-20,100,0,0,7.67
Flowers,Miley Cyrus,2024-01-20,100,0,0,7.67
Ninja Plaquette,Simba La Rue & Bobo feat. Boy Mass,2024-01-20,100,0,0,7.6
Complicato,Sfera Ebbasta feat. Paky,2024-01-20,100,0,0,7.38
Se piovesse il tuo nome,Elisa & Calcutta,2024-01-20,100,0,0,7.38
Where she goes,Bad Bunny,2024-01-20,100,0,0,7.38
(It goes like) Nanana,Peggy Gou,2024-01-20,100,0,0,7.16
Che t'o dico a fa',Angelina Mango,2024-01-27,76,23,1,100.0
Euforia,Annalisa,2024-01-27,55,37,7,88.85
Rossofuoco,Mida,2024-01-27,97,0,2,87.93
Anche stasera,Sfera Ebbasta feat. Elodie,2024-01-27,90,9,1,85.45
Nato per questo,Club Dogo & Marracash,2024-01-27,99,0,1,83.34
Calcolatrici,Sfera Ebbasta feat. Geolier & Simba La Rue & Baby Gang,2024-01-27,100,0,0,83.09
Everyday,Takagi e Ketra feat. Shiva & Anna & Geolier,2024-01-27,99,0,1,81.42
Petit fou fou,Rhove & Anna,2024-01-27,95,4,1,77.3
Milly,Club Dogo feat. Sfera Ebbasta,2024-01-27,100,0,0,76.18
Moneylove,Massimo Pericolo feat. Emis Killa,2024-01-27,100,0,0,74.3
Houdini,Dua Lipa,2024-01-27,45,53,2,74.06
Soli a Milano,Club Dogo & Elodie,2024-01-27,67,31,2,67.2
15 Piani,Sfera Ebbasta feat. Marracash,2024-01-27,99,0,1,66.41
Nightmares,Bresh & Pinguini Tattici Nucleari,2024-01-27,74,25,1,63.43
Un milione di notti,Mr. Rain & Clara,2024-01-27,57,41,2,62.86
Bruciasse il cielo,Blanco,2024-01-27,54,44,1,59.8
Italodisco,Kolors,2024-01-27,85,13,2,58.83
2minuti,Calcutta,2024-01-27,90,9,1,58.22
Vetri neri,Ava & Anna & Capo Plaza,2024-01-27,100,0,0,56.08
Greedy,Tate Mcrae,2024-01-27,45,54,1,55.92
Tunnel,Simba La Rue & F.T. Kings,2024-01-27,100,0,0,53.85
Cenere,Lazza,2024-01-27,96,4,0,52.44
"Yes, and?",Ariana Grande,2024-01-27,58,40,2,52.08
"Io, me ed altri guai",Rose Villain,2024-01-27,59,39,2,50.63
Si no estas,Inigo Quintero,2024-01-27,97,2,1,50.62
King of the jungle,Club Dogo,2024-01-27,100,0,0,50.33
Bon ton,Drillionaire & Lazza & Blanco feat. Sfera Ebbasta & Michelangelo,2024-01-27,100,0,0,50.25
Mafia del boom bap,Club Dogo,2024-01-27,100,0,0,50.24
C'era una volta in Italia,Club Dogo,2024-01-27,100,0,0,50.05
Cadillac,Boro & Artie 5Ive & Andry The Hitmaker,2024-01-27,100,0,0,48.59
Stupidi ragazzi,Achille Lauro,2024-01-27,33,67,1,47.12
Tokyo,Gaia,2024-01-27,8,89,2,46.78
Mwaki,Zerb & Sofiya Nzau,2024-01-27,19,71,9,44.47
Terra bruciata,Coez & Frah Quintale,2024-01-27,2,98,0,44.42
Bellissimissima,Alfa,2024-01-27,99,0,1,43.13
Lil Boo Thang,Paul Russell,2024-01-27,0,100,0,41.92
Parole vuote (La solitudine),Tedua & Capo Plaza & Shune,2024-01-27,99,1,0,41.16
I believe in love again,Peggy Gou & Lenny Kravitz,2024-01-27,0,99,1,40.54
Due vite,Marco Mengoni,2024-01-27,95,4,1,39.91
VDLC,Sfera Ebbasta,2024-01-27,100,0,0,39.89
Boulevard,Artie 5ive & Rondodasosa,2024-01-27,98,2,0,39.83
Lovin on me,Jack Harlow,2024-01-27,35,63,2,39.38
Lose control,Teddy Swims,2024-01-27,23,68,8,38.62
Kiss you (F**k you),Yung Snapp feat. Geolier,2024-01-27,100,0,0,38.13
Una cosa bene,Articolo 31 feat. Coma_Cose,2024-01-27,3,97,0,38.05
G63,Sfera Ebbasta feat. Lazza & Shiva,2024-01-27,100,0,0,37.47
Red,Ste,2024-01-27,90,6,4,36.46
Tutti,Calcutta,2024-01-27,100,0,0,36.45
Solo mai,Paola e Chiara,2024-01-27,2,94,4,35.44
Amore cane,Emma & Lazza,2024-01-27,19,80,1,35.4
Insta lova,Marracash & Guè Pequeno,2024-01-27,100,0,0,34.39
Face to face 2,Rondodasosa,2024-01-27,100,0,0,34.34
Nuvola,Holden,2024-01-27,96,1,2,33.73
Come vuoi,Geolier,2024-01-27,100,0,0,33.41
Occhi lucidi,Ultimo,2024-01-27,44,56,0,32.9
Mon amour,Annalisa,2024-01-27,98,0,2,32.58
Malafede,Club Dogo,2024-01-27,100,0,0,31.85
Un briciolo di allegria,Blanco & Mina,2024-01-27,100,0,0,30.68
A cena con gli dei,Biagio Antonacci,2024-01-27,0,97,3,29.78
Giro con te,Calcutta,2024-01-27,21,77,2,29.59
Ti sento,Bob Sinclar & Matia Bazar feat. Antonella Ruggiero,2024-01-27,13,78,9,29.55
Cocktail d'amore,Mahmood,2024-01-27,17,82,1,29.47
Spazio tempo,Francesco Gabbani,2024-01-27,95,2,3,29.14
Is it over now?,Taylor Swift,2024-01-27,3,97,0,29.03
Milano Shotta freestyle,Shiva,2024-01-27,100,0,0,28.88
Ci pensiamo domani,Angelina Mango,2024-01-27,100,0,0,28.85
In sbatti,Club Dogo,2024-01-27,100,0,0,28.83
Il male che mi fai,Geolier feat. Marracash,2024-01-27,100,0,0,27.93
Batiment,Simba La Rue & F.T. Kings feat. Sfera Ebbasta,2024-01-27,100,0,0,27.85
Papaya,Villabanks,2024-01-27,100,0,0,27.81
I got it,Anna,2024-01-27,100,0,0,27.1
Hoe,Tedua feat. Sfera Ebbasta,2024-01-27,100,0,0,26.68
Tango,Tananai,2024-01-27,93,7,0,25.86
Disco Paradise,Fedez & Annalisa & Articolo 31,2024-01-27,98,0,2,25.34
Hebs,Baby Gang & Higashi,2024-01-27,100,0,0,24.83
Alta marea,Coez & Frah Quintale,2024-01-27,100,0,0,24.34
Silenzio,Gianna Nannini,2024-01-27,0,100,0,23.78
Quando nevica,Elisa,2024-01-27,4,96,0,22.85
Sesso e architettura,Colapesce & Dimartino,2024-01-27,4,93,3,22.82
Paradiso artificiale,Tedua feat. Baby Gang & Kid Yugi,2024-01-27,100,0,0,22.7
Ancora,Rhove,2024-01-27,100,0,0,22.41
Soldi a casa,Simba La Rue & F.T. Kings feat. Ghali,2024-01-27,100,0,0,22.37
Ricordi sbiaditi,Medy feat. Capo Plaza,2024-01-27,100,0,0,22.21
Supereroi,Mr. Rain,2024-01-27,100,0,0,22.19
Ciao bella,Sfera Ebbasta feat. Anna,2024-01-27,100,0,0,22.06
3D,Jung Kook & Jack Harlow,2024-01-27,0,100,0,21.7
Not my fault,Reneè Rapp & Megan Thee Stallion,2024-01-27,0,100,0,21.15
"Quevedo: Bzrp Music Sessions, Vol. 52",Bizarrap & Quevedo,2024-01-27,100,0,0,20.62
Fragole,Achille Lauro & Rose Villain,2024-01-27,98,0,2,20.52
Milano,Bia & Sfera Ebbasta & Fivio Foreign,2024-01-27,100,0,0,20.41
A fari spenti,Elodie,2024-01-27,41,59,0,20.38
Can't get enough,Jennifer Lopez,2024-01-27,0,97,3,20.2
Anelli e collane,Artie 5Ive feat. Anna,2024-01-27,100,0,0,19.98
Gol,Sfera Ebbasta feat. Guè,2024-01-27,100,0,0,19.73
Murder on the dancefloor,Sophie Ellis-Bextor,2024-01-27,92,3,5,19.61
Un'altra storia,Marco Mengoni feat. Franco126,2024-01-27,36,62,2,19.31
Rubami la notte,Pinguini Tattici Nucleari,2024-01-27,100,0,0,19.21
Baby mama,Don Pero,2024-01-27,100,0,0,18.75
Guasto d'amore,Bresh & Shune,2024-01-27,100,0,0,18.61
Un altro mondo,Merk and Kremont & Tananai & Marracash,2024-01-27,67,33,0,18.58
Straniero,Massimo Pericolo feat. Tedua,2024-01-27,100,0,0,18.1
Paganini,Kid Yugi,2024-01-27,100,0,0,18.03
Ballon d'Or,Gemitaiz feat. Nayt,2024-01-27,100,0,0,17.89
Destri,Gazzelle,2024-01-27,100,0,0,17.77
Bling Bling (Oro),Guè Pequeno,2024-01-27,100,0,0,17.73
Seya,GIMS & Morad & Sativamusic,2024-01-27,100,0,0,17.53
Mattino di luce,Subsonica,2024-01-27,0,100,0,17.48
Red light,Tedua,2024-01-27,100,0,0,17.35
Tu non sei lei,Club Dogo,2024-01-27,100,0,0,16.8
Guagliò,Petit,2024-01-27,40,57,3,16.36
Mess it up [purple disco machine remix],Rolling Stones & Purple Disco Machine,2024-01-27,0,97,3,15.92
Ragazza sola,Annalisa,2024-01-27,100,0,0,15.78
Taxi sulla luna,Tony Effe & Emma & Takagi e Ketra,2024-01-27,100,0,0,15.68
Baby U want me,Vale Lambo feat. Geolier & Michelangelo,2024-01-27,97,3,0,15.45
Levante,Simba La Rue feat. Paky,2024-01-27,100,0,0,15.32
Latitante,Simba La Rue,2024-01-27,100,0,0,15.27
Atomic city,U2,2024-01-27,0,100,0,15.17
Indelebili,Club Dogo feat. Kaze,2024-01-27,100,0,0,14.93
Casanova,Soolking & Gazo,2024-01-27,100,0,0,14.86
All night long,Kungs & David Guetta feat. Izzy Bizu,2024-01-27,0,97,3,14.64
Chiagne,Geolier feat. Lazza & Takagi & Ketra,2024-01-27,100,0,0,14.45
X caso,Geolier feat. Sfera Ebbasta,2024-01-27,100,0,0,14.43
Gelosa,Finesse feat. Shiva & Sfera Ebbasta & Guè Pequeno,2024-01-27,100,0,0,14.16
Redrum,21 Savage,2024-01-27,100,0,0,14.05
Bellissima,Annalisa,2024-01-27,95,0,5,13.99
Giovani Wannabe,Pinguini Tattici Nucleari,2024-01-27,100,0,0,13.97
La tua canzone,Coez,2024-01-27,100,0,0,13.9
Frate,Club Dogo,2024-01-27,100,0,0,13.88
3uphon,Sfera Ebbasta feat. thasup & Tony Effe,2024-01-27,100,0,0,13.36
Parafulmini,Ernia feat. Bresh & Fabri Fibra,2024-01-27,100,0,0,12.98
Origami all'alba,Matteo Paolillo feat. Lolloflow & Clara,2024-01-27,100,0,0,12.6
Storia Infinita,Medy feat. Baby Gang,2024-01-27,100,0,0,12.56
Hoodrich,Artie 5Ive & Rondodasosa,2024-01-27,100,0,0,12.52
Plaza freestyle,El Chapo Junior & DJ Princex,2024-01-27,100,0,0,12.46
Spingere,Il Pagante & Villabanks,2024-01-27,100,0,0,12.37
Columbia,Quevedo,2024-01-27,100,0,0,12.29
Fantasmi,Rose Villain feat. Geolier,2024-01-27,100,0,0,12.13
Vulisse fa peccato,Nando De Marco feat. Giusy Attanasio,2024-01-27,100,0,0,12.06
Another love,Tom Odell,2024-01-27,100,0,0,11.95
Non lo sai,Shiva,2024-01-27,100,0,0,11.86
Controtempo,Calcutta,2024-01-27,100,0,0,11.85
Top G,Artie 5Ive feat. Sacky,2024-01-27,100,0,0,11.67
Machiavelli,Ghali feat. Simba La Rue,2024-01-27,100,0,0,11.67
CRUDELIA: I nervi,Marracash,2024-01-27,100,0,0,11.66
Cosa mi manchi a fare,Calcutta,2024-01-27,100,0,0,11.62
Lala,Myke Towers,2024-01-27,100,0,0,11.46
M' manc,Shablo & Geolier & Sfera Ebbasta,2024-01-27,100,0,0,11.23
Visiera a becco,Sfera Ebbasta,2024-01-27,100,0,0,11.04
Malamente,Tedua,2024-01-27,100,0,0,10.91
Blu ghiaccio travolgente,Tommaso Paradiso,2024-01-27,40,60,0,10.87
La musica non c'è,Coez,2024-01-27,100,0,0,10.83
Body moving,Eliza Rose feat. Calvin Harris,2024-01-27,0,96,4,10.73
Solite chiacchiere,Francesca Michielin,2024-01-27,0,92,8,10.65
Momenti no,Sfera Ebbasta feat. Tedua,2024-01-27,100,0,0,10.57
Pastello bianco,Pinguini Tattici Nucleari,2024-01-27,96,0,4,10.55
Hood,Simba La Rue & F.T. Kings feat. Tedua,2024-01-27,100,0,0,10.54
Ridere,Pinguini Tattici Nucleari,2024-01-27,100,0,0,10.45
Enough is enough,Post Malone,2024-01-27,0,100,0,10.44
Fell in love,blink-182,2024-01-27,0,100,0,10.43
Shopping,Simba La Rue & F.T. Kings feat. Guè,2024-01-27,100,0,0,10.35
Prada,Casso & Raye & D-Block Europe,2024-01-27,80,20,0,10.27
Soraya,Medy & Andry The Hitmaker,2024-01-27,100,0,0,10.27
Submariner,Simba La Rue,2024-01-27,100,0,0,10.09
Piccola stella,Ultimo,2024-01-27,100,0,0,9.98
Avalanche,Thirty Seconds To Mars,2024-01-27,0,100,0,9.9
Puoi,Fulminacci & Pinguini Tattici Nucleari,2024-01-27,100,0,0,9.9
